序号,纳入口径,企业代码,企业中文名,企业英文名,身份,身份代码,合作伙伴等级,合作伙伴代码,服务领域,服务领域代码,行业一级分类,行业一级代码,展位号,展馆,展厅或区域,展位数量,企业中文简介,企业英文简介,Logo URL,展览年份,官方目录 URL,官方 API URL,快照日期
719,参展企业,c4342e4464fd4ca09fc81e03f0bdb0b6,影眸科技（上海）有限公司,Deemos Technology,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"信息传输、软件和信息技术服务业,制造业,院校,政府,批发和零售业,文化、体育和娱乐业,建筑业,教育","VO_ENTERPRISE_SERVICE_DOMAIN_1,VO_ENTERPRISE_SERVICE_DOMAIN_4,VO_ENTERPRISE_SERVICE_DOMAIN_19,VO_ENTERPRISE_SERVICE_DOMAIN_17,VO_ENTERPRISE_SERVICE_DOMAIN_15,VO_ENTERPRISE_SERVICE_DOMAIN_14,VO_ENTERPRISE_SERVICE_DOMAIN_9,VO_ENTERPRISE_SERVICE_DOMAIN_5",核心技术,VO_INDUSTRY_L1_01,X1A-304,西岸国际会展中心,西岸国际会展中心,1,"影眸科技（Hyper3D.AI）是全球领先的3D生成大模型公司，孵化于上海科技大学人工智能与视觉实验室（Mars实验室）。公司成立于2020年，是全球最早定义3D生成底层框架的团队之一；2025年荣获SIGGRAPH最佳论文奖，全球仅Google、Meta与影眸三家商业公司获此殊荣，同期完成两轮共计数千万美元的A轮融资，投资方包括字节跳动、美团、蓝驰创投等。
公司打造的Hyper3D是业内唯一支持以文字直接编辑3D模型的AI 3D生成平台，用户既可通过文字或图片快速生成模型，也可上传已有模型进行深度再创作。平台旗舰模型Rodin Gen-2.5是全球首个千万面级3D生成模型，最快4秒即可生成百万面级模型，原生支持12K高清PBR贴图，并首创类LLM ""Thinking"" 可控生成机制，使生成精度在4至80秒间灵活调节。目前，Hyper3D已服务网易、Unity、拓竹等众多B端客户，应用覆盖游戏、影视、电商、3D打印、工业设计、XR及具身智能等多个领域。","Deemos Technology (Hyper3D.AI) is a global leader in large-scale 3D generative AI models. Incubated at the AI and Vision Lab (Mars Lab) of ShanghaiTech University, the company was founded in 2020 and is among the first teams in the world to define the foundational framework of 3D generation. In 2025, Deemos received the SIGGRAPH Best Paper Award—one of only three commercial companies worldwide to earn this distinction, alongside Google and Meta.
Hyper3D, developed by the company, is the only AI 3D generation platform in the industry that supports editing 3D models directly through text. Users can rapidly generate models from text or images, and can also upload existing models for in-depth re-creation. Rodin Gen-2.5, the platform's flagship model, is the world's first 3D generation model at the ten-million-polygon level, producing million-polygon models in as little as 4 seconds with native support for 12K high-definition PBR textures. Its pioneering LLM-like ""Thinking"" controllable gen",https://downloadprod.worldaic.com.cn/static/4e1ab0df/29a5e54c-242d-4381-859f-295912028be5_hyper3d_black%404x.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
720,参展企业,baf23e2e14694062ad7293dd856da22f,得瑞领新（重庆）科技有限责任公司,"DERA Co., Ltd",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,Z2B-607,张江科学会堂,张江科学会堂-张江厅,1,"得瑞领新（重庆）科技有限责任公司（简称DERA）2015年成立，总部位于重庆，在北京、上海、武汉、深圳、杭州设有研发及技术支持中心。作为技术导向的产品研发企业，公司专注于计算架构底层的半导体存储核心技术，是中国企业级SSD研发和创新的先行者，其技术成果已深度赋能人工智能等前沿领域。
DERA以自主可控为核心，依托全栈自研的存储控制芯片架构，实现从主控IP到固件算法的100%自主研发，成为覆盖“芯片-固件-模组-方案”的全链条存储服务商，打破了国外在高端存储芯片领域的技术垄断。
DERA现阶段主要产品包括遵循NVMe标准协议的企业级SSD控制器及企业级SSD产品，可为企业数据中心、云计算平台、高性能计算及人工智能训练推理等领域提供高性能、高可靠、高稳定、低成本、低功耗的存储产品，致力于以智能化存储架构支撑数字经济升级，以绿色低耗技术助力全球碳中和，成为引领存储产业可持续发展的核心力量。","Established in 2015 and headquartered in Chongqing, DERA Co., Ltd. operates nationwide R&D and technical support centers in Beijing, Shanghai, Wuhan, Shenzhen and Hangzhou. As a technology-focused product developer, the company specializes in core semiconductor storage technologies for underlying computing architectures. As a pioneer in the research, development and innovation of eSSDs in China, DERA’s technological strengths have been deeply empowered and widely deployed in cutting-edge fields including artificial intelligence.
Centering on independent and controllable technological development, DERA boasts a fully self-developed storage controller architecture, realizing 100% independent research and development covering controller IP and firmware algorithms. It has built a complete industrial ecosystem integrating chips, firmware, modules and overall storage solutions, successfully breaking the long-term technological monopoly of foreign enterprises in the high-end storage chip sect",https://downloadprod.worldaic.com.cn/static/4e1ab0df/1ab1ee58-584e-4829-82d9-a9b584656cea_DERA%20LOGO.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
721,参展企业,68dffef794e04895a0d271bc4c1c46c5,心眸科技（杭州）有限公司,"Moonix Technology (Hangzhou) Co., Ltd.",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"制造业,信息传输、软件和信息技术服务业,教育,文化、体育和娱乐业,批发和零售业,政府,机构,院校","VO_ENTERPRISE_SERVICE_DOMAIN_4,VO_ENTERPRISE_SERVICE_DOMAIN_1,VO_ENTERPRISE_SERVICE_DOMAIN_5,VO_ENTERPRISE_SERVICE_DOMAIN_14,VO_ENTERPRISE_SERVICE_DOMAIN_15,VO_ENTERPRISE_SERVICE_DOMAIN_17,VO_ENTERPRISE_SERVICE_DOMAIN_18,VO_ENTERPRISE_SERVICE_DOMAIN_19",智能终端,VO_INDUSTRY_L1_07,X1A-106,西岸国际会展中心,西岸国际会展中心,1,"心眸科技（杭州）有限公司聚焦人工智能与可穿戴智能硬件融合创新，深耕端侧 AI 模型、多模态感知技术落地，摒弃行业功能堆砌内卷思路，秉持 “敬畏传统、回归本质、做减法的科技” 产品理念，主打轻量化无感佩戴智能眼镜赛道。2026 年 4 月公司在美国硅谷举办全球发布会，正式推出首款旗舰产品 Moonix AI 眼镜，整机重量仅 14.9g，实现超轻薄日常佩戴，搭载主动无感 AI 技术，分标准版、Pro 版两个版本，配套专属 App 可实现内容整合、行为数据分析等功能。
公司核心团队兼具硬件结构设计、AI 算法、消费电子产品市场化复合经验，坚持场景驱动，主打自然无负担的普惠式 AI 穿戴体验，致力于打造下一代轻量化智能随身入口，推动人工智能深度融入普通人日常生活。","Moonix Technology (Hangzhou) Co., Ltd. concentrates on integrated innovation of artificial intelligence and wearable smart hardware.Rejecting the industry-wide vicious competition driven by excessive feature stacking, the company adheres to the product philosophy of ""respecting traditions, returning to fundamentals, and practicing streamlined technology"", focusing on the track of lightweight smart glasses designed for imperceptible wearing experience.
In April 2026, the company hosted a global launch event in Silicon Valley, the United States, and officially unveiled its first flagship product, Moonix AI Glasses. Weighing only 14.9 grams, the device enables ultra-thin and lightweight daily wear and incorporates active imperceptible AI technology. It is offered in two variants: the Standard Edition and the Pro Edition. The supporting exclusive mobile App delivers functions including content integration and behavioral data analysis.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/45d41e4f-27d3-4960-bb1b-dbed8b8c46a1_logo-forwaic.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
722,参展企业,e3044786091d4957899c9a8758005196,思腾合力（天津）科技有限公司,"SITONHOLY(Tianjin) Technology Co., Ltd",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"制造业,金融,信息传输、软件和信息技术服务业,教育,城市治理,交通运输、仓储和邮政业,租赁业与商业服务业,采矿业,建筑业,电力、热力、燃气及水生产和供应业,水利、环境和公共设施管理业,农、林、牧、渔业,政府,机构,院校","VO_ENTERPRISE_SERVICE_DOMAIN_4,VO_ENTERPRISE_SERVICE_DOMAIN_2,VO_ENTERPRISE_SERVICE_DOMAIN_1,VO_ENTERPRISE_SERVICE_DOMAIN_5,VO_ENTERPRISE_SERVICE_DOMAIN_3,VO_ENTERPRISE_SERVICE_DOMAIN_6,VO_ENTERPRISE_SERVICE_DOMAIN_7,VO_ENTERPRISE_SERVICE_DOMAIN_11,VO_ENTERPRISE_SERVICE_DOMAIN_9,VO_ENTERPRISE_SERVICE_DOMAIN_12,VO_ENTERPRISE_SERVICE_DOMAIN_13,VO_ENTERPRISE_SERVICE_DOMAIN_10,VO_ENTERPRISE_SERVICE_DOMAIN_17,VO_ENTERPRISE_SERVICE_DOMAIN_18,VO_ENTERPRISE_SERVICE_DOMAIN_19",核心技术,VO_INDUSTRY_L1_01,Z2A-303,张江科学会堂,张江科学会堂-张江厅,1,"思腾合力（天津）科技有限公司，自2009年成立以来，聚焦高性能计算及算力底座解决方案。我们紧跟AI发展趋势，专注于为AI应用提供高效算力支持，致力于成为卓越的算力解决方案引领者，构筑AI世界的无限可能。
思腾建立了完善的研发、生产、制造基地，通过自主创新的软硬件结合，打造了完整且自主可控的产品生态系统，涵盖深度学习、高性能计算、虚拟化、分布式存储、AI集群管理及云计算等多个领域。
我们坚持客户至上，核心产品线包括自研AI管理软件、算力服务器（GPU、信创）及云计算服务（裸金属、公有云）。同时，我们还拓展了算力运营、维保、垂直大模型一体机、定制化及液冷产品等五项业务，以满足客户多样化需求。
展望未来，思腾合力将继续秉持创新精神，紧跟AI发展步伐，提升技术实力和服务水平，为构建更加智能、美好的未来贡献AI力量。","Since its establishment in 2009, SITONHOLY (Tianjin) Technology Co., Ltd. has been dedicated to high-performance computing and computing power infrastructure solutions. We closely follow the development trend of AI, focusing on providing efficient computing power support for AI applications. We are committed to becoming a leader in excellent computing power solutions and building infinite possibilities in the AI world.
SITONHOLY has established a comprehensive R&D, production, and manufacturing base. Through the integration of independently innovated software and hardware, it has created a complete and independently controllable product ecosystem, covering multiple fields such as deep learning, high-performance computing, virtualization, distributed storage, AI cluster management, and cloud computing.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/5bca875f-fc15-44a1-8f61-608b012adec5_logo%E5%9B%BE.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
723,参展企业,c223013e7f0c423ab7334fc9ee5d86ba,恒之未来(重庆)创新科技有限公司,Hengbot,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,具身智能,VO_INDUSTRY_L1_06,X1C-107,西岸国际会展中心,西岸国际会展中心,1,恒之未来（重庆）创新科技有限公司成立于2022年7月26日，专注于消费级机器人产品的研发与创新。公司源自Xbotpark科创体系，是重庆明月湖基地首批孵化的消费电子企业。依托大湾区完备产业链，并与重庆、香港多所高校及研究所深度合作，恒之未来兼具前沿研究能力与商业转化实力。目前，公司正积极拓展全球市场，在北美、欧洲等地已建立深入的用户合作并积累了一定的媒体知名度。,"Hengbot, founded in July 2022, is a consumer-grade robotics R&D company born from the Xbotpark ecosystem and incubated at Chongqing Moon Lake Base. Leveraging the Greater Bay Area’s industrial chain and partnerships with top universities in Chongqing and Hong Kong, it excels in both fundamental research and product commercialization. The company is now expanding globally, with strong user partnerships and media recognition in North America and Europe.",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
724,参展企业,287a0f5fa9ec48a18be924e1b0d42bee,恒工伟创具身智能科技(上海)有限公司,"Henggong Weichuang Jushen Intelligent Technology (Shanghai) Co., Ltd",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"信息传输、软件和信息技术服务业,制造业,其他","VO_ENTERPRISE_SERVICE_DOMAIN_1,VO_ENTERPRISE_SERVICE_DOMAIN_4,VO_ENTERPRISE_SERVICE_DOMAIN_OTHER",具身智能,VO_INDUSTRY_L1_06,H3-E111,世博展览馆,世博展览馆H3,1,恒工伟创具身智能科技(上海)有限公司致力于推动具身智能技术的产业化落地，聚焦于机器人整机的研发、生产与场景化应用。凭借在供应链、技术研发与市场渠道上的协同优势，公司旨在快速实现从技术到产品的转化，成为具身智能领域集研发、制造与解决方案于一体的重要平台。,"Henggong Weichuang Embodied Intelligence Technology (Shanghai) Co., Ltd. is committed to promoting the industrialization and implementation of embodied intelligence technology, focusing on the research and development, production, and scenario-based application of complete robot systems. Leveraging synergistic advantages in supply chain, technology research and development, and market channels, the company aims to rapidly transform technology into products and become an important platform integrating research and development, manufacturing, and solutions in the field of embodied intelligence.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/06476fcb-bfb7-4cd5-843d-b296da91b439_%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20260626170700_286_31.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
725,参展企业,c8c1df8a7e8a48d095e625bb181117f0,悍亩尔空间（深圳）科技有限公司,Hammerspace,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,H1-D719,世博展览馆,世博展览馆H1,1,Hammerspace 是一家提供“全局数据平台”（Global Data Platform）的公司，其核心产品是一个软件定义的、跨存储/云/地域的非结构化数据编排系统，旨在消除数据孤岛，为 AI、HPC 和多云环境提供统一命名空间与自动数据编排能力，无需迁移数据。‌‌,"Hammerspace is a company that offers a ""global data platform"". Its core product is a software-defined, cross-storage/cloud/geographical non-structured data orchestration system, aiming to eliminate data silos and provide a unified namespace and automatic data orchestration capabilities for AI, HPC and multi-cloud environments, without the need to migrate data.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/06f01b37-078a-4f30-8d7d-5678ed34fd4a_%E5%B8%A6%E5%AD%97%E6%AF%8D%E4%B8%8A%E4%B8%8B%E7%BB%93%E6%9E%84LOGO.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
726,参展企业,85c7bf820ceb446a8b9e891c3c9a1cfb,悟通感控（北京）科技有限公司,"Tactus Dynamics (Beijing) Technology Co., Ltd ",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"制造业,电力、热力、燃气及水生产和供应业,院校,信息传输、软件和信息技术服务业,政府,机构","VO_ENTERPRISE_SERVICE_DOMAIN_4,VO_ENTERPRISE_SERVICE_DOMAIN_12,VO_ENTERPRISE_SERVICE_DOMAIN_19,VO_ENTERPRISE_SERVICE_DOMAIN_1,VO_ENTERPRISE_SERVICE_DOMAIN_17,VO_ENTERPRISE_SERVICE_DOMAIN_18",具身智能,VO_INDUSTRY_L1_06,H1-A113,世博展览馆,世博展览馆H1,1,"悟通感控——具身智能数据采集解决方案商，拥有离电式等多种国际领先的薄膜压力传感技术；数据质量高，具备：超高灵敏、高稳定、长寿命、低成本等特点，为压力传感多项团标的重要参编单位。 
产品或解决方案包括：机器人二维/三维力电子皮肤；具身智能触觉数据采集手套，三维力灵巧手/夹爪指尖力触觉模块；骨科、康复、妇产等力传感医疗器械部件ODM；储能/动力 锂电池膨胀力传感器（单点、矩阵、CCS集成） ，电池热失控安全预警与状态估计算法，配套储能安全预警与智慧运维软件。","Tactus Dynamics— A solution provider for embodied intelligence data acquisition, possessing internationally leading thin-film pressure sensing technologies including iontronic sensing. Delivering high-quality data characterized by ultra-high sensitivity, high stability, long lifespan, and low cost. Tactus Dynamics is a key participating unit in the drafting of multiple industry association standards for pressure sensing.

Products and solutions include:
2D/3D force electronic skin for robots
Embodied intelligence tactile data acquisition glove
3D force fingertip tactile modules for dexterous hands and grippers
Force-sensing medical device component ODM for orthopedics, rehabilitation, obstetrics and gynecology, etc.
Lithium battery expansion force sensors for energy storage and power batteries (single-point, matrix, CCS integrated)
Battery thermal runaway safety early warning and state estimation algorithms
Companion energy storage safety early warning and intelligent O&M software",https://downloadprod.worldaic.com.cn/static/4e1ab0df/95d0bfeb-272c-466c-bf72-a3cb617eed42_d1fe668e304ad2ba2bdf1f59c975c27e.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
727,参展企业,772dbfd9b7164ad5a07a5897f79e3ca6,慈溪市凯峰电子有限公司,"Cixi Kaifeng Electronics Co., Ltd",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"制造业,批发和零售业","VO_ENTERPRISE_SERVICE_DOMAIN_4,VO_ENTERPRISE_SERVICE_DOMAIN_15",智能终端,VO_INDUSTRY_L1_07,H4-035,世博展览馆,世博展览馆H4,1,"凯峰电子成立于2001年，是国家级高新技术企业、宁波市“专精特新”规上企业，专注于接线端子与拨码开关的研发制造。公司以“产研销三位一体”为核心，构建智能化生产体系，配置自主研发的自动生产机与A1检验设备，组建专业的研发队伍与加工事业部，每年研发设计多项新品。
作为国家级高新技术企业，公司投入打造2.0万平方米厂房，配备价值2.0亿元生产设备，2025年实现销售额4.0亿元。依托“专精特新”发展路径，产品通过VDE、UL、COC、TUV等认证，服务全球电力、工业自动化、新能源、机器人等领域客户，为全球1000+企业提供高可靠连接解决方案，持续以技术创新驱动产业升级。","Founded in 2001, Kaifeng Electronics is a national high-tech enterprise and a large-scale ""Specialized, Refined, Differential & Innovative"" enterprise in Ningbo, specializing in the R&D, production and manufacturing of terminal blocks and DIP switches. Centered on the integrated development of production, research and sales, the company has built an intelligent manufacturing system, equipped with self-developed automatic production machines and automated inspection equipment. We have established a professional R&D team and processing division, launching a variety of newly developed products every year.
As a national high-tech enterprise, we operate a 20,000-square-meter factory with production equipment worth 200 million RMB, achieving an annual sales volume of 400 million RMB in 2025. Following the development path of ""Specialized, Refined, Differential & Innovative"", our products have obtained certifications including VDE, UL, COC and TUV. We serve customers across the globe in secto",https://downloadprod.worldaic.com.cn/static/4e1ab0df/9287450f-c9ef-49c5-afdd-5b71b01741e6_%E5%87%AF%E5%B3%B0LOGO-%E5%9B%BE%E6%A0%87.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
728,参展企业,5f8394b1f309492bbfb1096043b7b9d2,成都中启易联科技有限公司,"Chengdu Zonekee Easylink technology Co.,Ltd",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,其他,VO_INDUSTRY_L1_24,L078,世博中心,世博中心,1,"中启易联成立于2015年，致力于为全球人工智能企业及科研算法机构提供优质训练数据服务。
公司拥有丰富的成品数据库，提供数据定制服务，并建立一站式数据采集标注处理一体化平台。
中启易联具备全球化的业务支持与交付能力，以专业的行业素养、快速的反应机制、严谨的信息安全保密措施、一站式全产业链资源，为质量和效率提供技术保障，服务产品已涉及全球180+国家和地区，目前已成为国内成熟的数据服务提供商。","Zhongqi Yilian was founded in 2015, dedicated to delivering high-quality training data services for global artificial intelligence enterprises and algorithm research institutions.
The company boasts an extensive library of ready-made datasets, offers customized data solutions, and has built an all-in-one integrated platform covering data collection, annotation and processing.
Equipped with global business support and delivery capabilities, Zhongqi Yilian leverages professional industry expertise, rapid response mechanisms, stringent information security and confidentiality protocols, as well as one-stop full-industry-chain resources to guarantee superior quality and efficient delivery. Its service products cover more than 180 countries and regions worldwide, making it a well-established domestic provider of data services to date.",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
729,参展企业,357f03db445d4bde94be3d550e3589c4,成都海艺互娱科技有限公司,"Chengdu Haiyi Huyu Technology Co., Ltd.",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,X1A-501-09,西岸国际会展中心,西岸国际会展中心,1,"成都海艺互娱科技有限公司（简称：海艺AI）成立于2023年5月，是一家专注于图像与视频生成领域的高科技企业，以完全自研的“海艺绘画大模型”为核心引擎，致力于打造全球领先的AIGC（人工智能生成内容）互动娱乐平台，释放用户的创意潜能。
海艺AI已通过国家生成式人工智能服务备案，并拥有2项发明专利、18项软件著作权等核心知识产权。目前，海艺AI月活跃用户超2500万，海外用户占比超过90%，位列全球“AI图片生成榜”第一，获得2026福布斯中国人工智能全球化标杆企业等荣誉，并正持续扩大其全球市场影响力。","Chengdu Haiyi Huyu Technology Co., Ltd. (abbreviated as SeaArt AI) was founded in May 2023. As a high-tech enterprise focusing on image and video generation, it adopts the fully self-developed SeaArt Painting Large Model as its core engine. The company is committed to building a world-leading AIGC (AI-Generated Content) interactive entertainment platform to unleash users' creative potential.
SeaArt AI has completed the national filing for generative AI services and possesses core intellectual property rights, including 2 invention patents and 18 software copyrights. Currently, it has over 25 million monthly active users, with overseas users accounting for more than 90% of the total user base. Ranking first on the global AI image generation list, SeaArt AI has been named one of the 2026 Forbes China AI Globalization Benchmark Enterprises. The company continues to expand its influence across the global market.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/bb8fbc53-4eaf-4f6b-bb15-f51ff53047b2_%E6%B5%B7%E8%89%BA%E4%B8%AD%E6%96%87logo-01%281%29.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
730,参展企业,1ee1fdf253aa423caace6a1d57246124,成都灵动视界科技有限公司,"Chengdu LivelyView Technology Co., Ltd.",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,H4-013,世博展览馆,世博展览馆H4,1,"成都灵动视界科技有限公司是一家聚焦人工智能前沿应用与直播电商智能化运营的创新科技企业。围绕直播电商从选品、开播、互动、讲品、促转化、合规风控到数据复盘与私域沉淀的全链路场景，持续探索人工智能在直播运营中的深度应用。公司以 AI 技术为核心驱动力，将直播间中大量高频、重复、依赖人工经验的运营动作进行智能化、自动化和标准化重构，帮助商家与直播团队降低人力投入、减少运营失误、提升互动效率与转化能力。
依托灵动章鱼智能 AI 直播系统，公司为品牌商家、达人团队、代运营机构、MCN 机构及本地生活商家提供覆盖直播全流程的智能化解决方案。通过 AI 中控、智能互动、主播协同、运营自动化、多平台协同等能力，成都灵动视界科技有限公司致力于让直播电商从“人海战术”和“经验驱动”升级为“AI 协同”和“数据驱动”，助力行业实现降本、提效、增收与规模化增长。","Chengdu LivelyView Technology Co., Ltd. is an innovative technology company focused on AI applications and intelligent operations for live-streaming e-commerce. The company applies AI across the full live-commerce workflow, including product selection, live streaming, audience interaction, product presentation, conversion optimization, compliance control, data review, and private-domain user retention.

Driven by AI technology, LivelyView transforms repetitive, high-frequency, and experience-based live-room operations into intelligent, automated, and standardized processes. Powered by the Lingdong Octopus Intelligent AI Live-Streaming System, the company provides end-to-end solutions for brand merchants, influencer teams, live-streaming agencies, MCN organizations, and local lifestyle businesses, helping them reduce costs, improve efficiency, increase conversions, and achieve scalable growth.",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
731,论坛主办方（非展商）,4e9a6b17b1d14cdfaa5d423b4ddad6dd,战略咨询专家委秘书处,Shanghai Artificial Intelligence Strategy Advisory Expert Committee,论坛主办方,WAIC_FORUM_ACCOUNT_DEFAULT,,,"信息传输、软件和信息技术服务业,政府","VO_ENTERPRISE_SERVICE_DOMAIN_1,VO_ENTERPRISE_SERVICE_DOMAIN_17",核心技术,VO_INDUSTRY_L1_01,,,,0,不用会刊,不用会刊,,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
732,参展企业,2e26d04c15ff4e0bbbb22643593a1a70,戴盟（深圳）机器人科技有限公司,"Daimon (Shenzhen) Robotics Technology Co., Ltd. ",展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"信息传输、软件和信息技术服务业,制造业","VO_ENTERPRISE_SERVICE_DOMAIN_1,VO_ENTERPRISE_SERVICE_DOMAIN_4",具身智能,VO_INDUSTRY_L1_06,H3-B324,世博展览馆,世博展览馆H3,1,"戴盟（深圳）机器人科技有限公司是一家聚焦于触觉感知与灵巧操作的具身智能企业，孵化于香港科技大学研究团队，2023年正式运营，总部位于深圳市宝安区，并在香港设研发分支。

依托全球首创单色光视触觉技术，戴盟构建面向具身智能时代的触觉与操作基础设施，推出全链路通用操作能力平台，核心产品包括全球首款多维高分辨率高频率视触觉传感器、含力/触觉反馈的遥操作数据采集系统、视觉—触觉—语言—动作（VTLA）多模态数据采集软硬件体系及相应操作模型等。公司先后获得国家高新技术企业、深圳市“专精特新”中小企业等权威认定，全国创新创业大赛第三名、世界物联网博览会金奖等多项荣誉。 

戴盟致力于为具身智能打造触觉底座，以“硬件—数据—模型”构建完整能力生态，不仅提供核心技术产品，更定位为具身智能时代触觉与操作基础设施的构建者，推动机器人从“可感知”迈向“可操作”，加速通用具身智能新纪元的到来。
","Daimon Robotics is an embodied AI company focused on tactile perception and dexterous manipulation. Originating from a research team at the Hong Kong University of Science and Technology (HKUST), the company officially began operations in 2023.

Built on proprietary monochromatic vision-based tactile sensing technology, Daimon develops touch-enabled infrastructure for robotic manipulation. Its platform includes high-resolution, high-frequency tactile sensors, teleoperation systems with force and tactile feedback, and a Vision-Tactile-Language-Action (VTLA) multimodal data and model framework for robotic manipulation.

Daimon’s products have obtained key regulatory certifications for the European and U.S. markets, supporting broader international deployment. The company has also received orders from leading organizations including BMW, Physical Intelligence, Skild AI, and Meta.

By integrating hardware, data, and models into a unified technology stack, Daimon aims to enable robots to mo",https://downloadprod.worldaic.com.cn/static/4e1ab0df/cd4bd3e2-4a47-49c2-a392-168235a1839f_en-logo-DAIMON%20ROBOTICS.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
733,参展企业,92ca46d4ed234d5398f33f9b4c852992,承玥信息科技（上海）有限公司,MemVerge,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,其他,VO_INDUSTRY_L1_24,H4-097,世博展览馆,世博展览馆H4,1,承玥信息科技（上海）有限公司是一家专注于 AI 原生产品创新的科技公司，致力于打造以记忆为核心的新一代 AI 应用。旗下核心产品 MemoryBox 是一款以记忆为核心的 AI 智能工作空间，通过长期记忆、智能上下文、全模型互通、多样人设和隐私优先等能力，让每个 AI 都真正懂你。MemoryBox 帮助用户持续沉淀知识、经验、偏好与思考，并在不同 AI 模型和工具之间实现无缝共享，让个人记忆真正成为 AI 时代的长期数字资产，实现“一份记忆，无限 AI”。,"MemVerge is an AI technology company dedicated to building the next generation of memory-powered AI experiences. Its flagship product, MemoryBox, is an AI workspace centered on personal memory, enabling every AI to truly understand its user through long-term memory, intelligent context, cross-model interoperability, customizable AI personas, and a privacy-first design. MemoryBox continuously captures and organizes users' knowledge, experiences, preferences, and ideas, making them seamlessly available across AI models and tools, so personal memory becomes a lasting digital asset in the AI era, bringing the vision of ""Let Your Memory Power Every AI"" to life.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/bcba99ec-0a01-4594-8d74-611a4c432ad4_MmV-032019_hrz-rgb-blue--650x145px.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
